inst	noh	mks	cst
ACAD	7.8836	163.6	83089.8034
ACAD	14.6545	156.8	83771.8111
ACAD	24.2206	147.2	84753.8961
ACAD	14.9362	156.5	83785.0915
ACAD	30.7412	140.7	85431.2185
ACAD	43.3362	128.1	86853.2234
ACAD	28.3077	143.2	85123.4629
ACAD	18.127	153.3	84101.5825
ACAD	40.64	130.8	86535.4082
ACAD	39.0646	132.4	86276.0957
ACAD	13.9264	157.5	83696.5747
ACAD	24.6261	146.8	84789.8613
ACAD	48.1107	123.3	87387.6085
ACAD	22.7115	148.7	84603.0957
ACAD	21.632	149.8	84532.8354
ACAD	29.4301	142.0	85289.7475
ACAD	24.3304	147.1	84752.7953
ACAD	7.7492	163.7	83083.2699
ACAD	22.4175	149.0	84561.9827
ACAD	16.5324	154.9	83954.6508
ACAD	49.1102	122.3	87505.487
ACAD	6.4274	165.0	82960.3853
ACAD	14.2572	157.2	83728.952
ACAD	7.4196	164.0	83058.7324
ACAD	28.1501	143.3	85074.8841
ACAD	11.2465	160.2	83422.5775
ACAD	43.614	127.8	86919.6871
ACAD	25.4445	146.0	84820.6579
ACAD	22.7459	148.7	84555.8748
ACAD	19.5624	151.9	84236.8314
ACAD	27.8126	143.6	85126.4101
ACAD	38.1218	133.3	86318.4649
ACAD	36.7321	134.7	86024.2789
ACAD	18.3204	153.1	84145.1243
ACAD	46.4353	125.0	87190.504
ACAD	50.2433	121.2	87633.8716
ACAD	33.3192	138.1	85749.9513
ACAD	47.9854	123.5	87347.6986
ACAD	15.1175	156.3	83848.8086
ACAD	47.3277	124.1	87277.6774
ACAD	46.2117	125.2	87176.8495
ACAD	21.7177	149.7	84474.5487
ACAD	45.5263	125.9	87094.3874
ACAD	25.9185	145.5	84989.5995
ACAD	45.2402	126.2	87054.8249
ACAD	13.6169	157.8	83676.5515
ACAD	16.0209	155.4	83931.9341
ACAD	32.4228	139.0	85566.2916
ACAD	34.7519	136.7	85866.2491
ACAD	23.8136	147.6	84645.0989
ACAD	37.4135	134.0	86222.258
ACAD	9.5247	161.9	83266.7787
ACAD	44.5117	126.9	86995.2333
ACAD	4.3227	167.1	82741.0132
ACAD	38.2703	133.2	86236.4399
ACAD	48.737	122.7	87452.7626
ACAD	38.6303	132.8	86305.9113
ACAD	16.729	154.7	83998.1791
ACAD	28.0217	143.4	85120.0599
ACAD	27.2587	144.2	85055.3103
ACAD	41.7638	129.7	86614.0257
ACAD	40.327	131.1	86486.2857
ACAD	29.5412	141.9	85246.1589
ACAD	24.4638	147.0	84839.8741
ACAD	31.5688	139.9	85441.8595
ACAD	28.3177	143.1	85168.97
ACAD	29.2375	142.2	85209.4831
ACAD	31.3114	140.1	85455.8154
ACAD	10.9368	160.5	83414.6115
ACAD	7.7115	163.7	83089.286
ACAD	30.4607	141.0	85314.213
ACAD	30.1178	141.3	85359.7398
ACAD	42.8206	128.6	86792.6754
ACAD	36.1747	135.3	85972.7969
ACAD	34.6372	136.8	85844.6102
ACAD	46.307	125.1	87221.436
ACAD	51.0294	120.4	87744.0904
ACAD	41.4926	130.0	86593.8632
ACAD	12.528	158.9	83549.4655
ACAD	38.9989	132.5	86287.6612
ACAD	16.3184	155.1	83935.7813
ACAD	8.8156	162.6	83198.6297
ACAD	19.5542	151.9	84243.7469
ACAD	20.0159	151.4	84332.8569
ACAD	41.912	129.5	86726.8762
ACAD	32.2326	139.2	85619.3958
ACAD	25.5212	145.9	84875.9565
ACAD	14.1295	157.3	83723.4058
ACAD	39.9998	131.5	86432.0184
ACAD	52.4895	119.0	87913.3601
ACAD	2.4132	169.0	82561.4425
ACAD	52.4612	119.0	87915.1057
ACAD	3.2589	168.2	82641.32
ACAD	50.4128	121.0	87682.3621
ACAD	41.5228	129.9	86603.309
ACAD	42.0191	129.4	86726.8202
ACAD	29.0882	142.4	85201.8494
ACAD	5.5222	165.9	82861.8398
ACAD	15.9094	155.5	83922.8546
ACAD	8.2174	163.2	83141.9939
ACAD	28.3363	143.1	85132.1477
ACAD	16.173	155.3	83920.7211
ACAD	22.8563	148.6	84570.1908
ACAD	7.1128	164.3	83018.9404
ACAD	12.6161	158.8	83576.5388
ACAD	11.3132	160.1	83433.5758
ACAD	14.8659	156.6	83757.9318
ACAD	51.8193	119.6	87844.3808
ACAD	2.5637	168.9	82575.643
ACAD	7.619	163.8	83079.2554
ACAD	21.7637	149.7	84461.826
ACAD	34.231	137.2	85738.2884
ACAD	23.3327	148.1	84647.5305
ACAD	51.6633	119.8	87815.6852
ACAD	17.7173	153.7	84106.6969
ACAD	44.1597	127.3	86923.1874
ACAD	3.636	167.8	82679.1816
ACAD	11.7289	159.7	83479.6476
ACAD	25.5129	145.9	84950.5887
ACAD	38.336	133.1	86238.8961
ACAD	35.6845	135.8	85953.1826
ACAD	7.5138	163.9	83072.5821
ACAD	45.4131	126.0	87120.9871
ACAD	32.2206	139.2	85663.0523
ACAD	20.5168	150.9	84327.0991
ACAD	14.7171	156.7	83779.2862
ACAD	32.658	138.8	85583.2246
ACAD	18.8518	152.6	84159.0196
ACAD	37.4416	134.0	86208.9329
ACAD	39.5218	131.9	86416.2398
ACAD	35.1314	136.3	85880.1022
ACAD	49.7261	121.7	87570.8422
ACAD	42.4713	129.0	86753.8131
ACAD	22.5568	148.9	84542.8137
ACAD	27.6374	143.8	85077.2383
ACAD	25.1149	146.3	84833.0035
ACAD	15.7207	155.7	83848.6691
ACAD	4.4179	167.0	82756.7159
ACAD	13.0707	158.4	83595.5913
ACAD	27.5261	143.9	85139.0869
ACAD	48.1352	123.3	87375.8114
ACAD	19.4136	152.0	84281.0032
ACAD	26.2662	145.2	84899.4077
ACAD	49.2138	122.2	87504.8463
ACAD	23.2215	148.2	84630.0618
ACAD	44.1717	127.3	86908.6008
ACAD	25.2971	146.2	84866.8815
ACAD	38.5184	132.9	86279.5064
ACAD	47.0135	124.4	87245.4401
ACAD	11.0809	160.4	83409.8837
ACAD	39.6396	131.8	86385.8494
ACAD	46.1507	125.3	87140.46
ACAD	34.7821	136.7	85778.1239
ACAD	41.0253	130.4	86544.7885
ACAD	17.0123	154.4	83988.3834
ACAD	6.4161	165.0	82965.6743
ACAD	16.4334	155.0	83973.3619
ACAD	33.9323	137.5	85764.0502
ACAD	30.9343	140.5	85406.1881
ACAD	8.337	163.1	83139.338
ACAD	36.1459	135.3	86005.9172
ACAD	44.7427	126.7	86953.5834
ACAD	20.1307	151.3	84336.1798
ACAD	10.0488	161.4	83309.7515
ACAD	10.3571	161.1	83325.4019
ACAD	17.8145	153.6	84072.0703
ACAD	9.6147	161.8	83263.2738
ACAD	28.939	142.5	85207.278
ACAD	19.8402	151.6	84256.2005
ACAD	32.653	138.8	85613.2246
ACAD	20.8199	150.6	84390.0511
ACAD	52.0203	119.4	87864.5555
ACAD	16.1226	155.3	83921.9042
ACAD	4.2356	167.2	82733.3399
ACAD	51.3359	120.1	87789.0935
ACAD	11.9112	159.5	83497.2561
ACAD	30.0148	141.4	85356.3525
ACAD	19.2242	152.2	84236.957
ACAD	4.8266	166.6	82789.3099
ACAD	43.7023	127.8	86857.112
ACAD	26.425	145.0	84963.8312
ACAD	12.1124	159.3	83514.4579
ACAD	35.9641	135.5	86002.1857
ACAD	8.2577	163.2	83135.3037
